0	ñpq	0
1	asf	6401
2	äíá	0
3	yüa	0
4	nkô	0
5	äíé	0
6	äíë	0
7	nkü	121
8	?!-	0
9	nkà	0
10	nak	30969
11	y î	0
12	îéó	0
13	?! 	0
14	mxb	0
15	wf 	2671
16	wf.	286
17	wf,	235
18	wf-	0
19	fbn	0
20	jej	2748
21	jek	5566
22	jeh	1434
23	nks	28271
24	jen	38251
25	jeo	5773
26	jel	9532
27	nkw	632
28	jeb	1733
29	jec	65400
30	jea	58447
31	jef	24263
32	jeg	1091
33	jed	10085
34	jee	2881
35	jez	4846
36	nka	28189
37	nkb	699
38	nkc	1225
39	nkd	224
40	nke	36032
41	nkf	6256
42	nkg	362
43	jer	62333
44	nki	43110
45	jep	2105
46	nkl	14067
47	jew	6597
48	jet	194781
49	nko	26876
50	wfu	326
51	wfa	117
52	wfo	3313
53	wfl	243
54	wfm	0
55	zá 	407
56	wfi	831
57	je,	12539
58	je-	497
59	nië	1766
60	nk:	1185
61	nk;	894
62	nk?	144
63	nk 	88061
64	nk!	187
65	nk'	576
66	nk,	7765
67	nk-	1776
68	nk.	4276
69	é ä	0
70	.d,	0
71	.d.	14424
72	.d 	391
73	.du	1125
74	.dt	0
75	.dw	163
76	xy,	561
77	.dr	1053
78	.dm	183
79	.dl	441
80	.do	3366
81	.dn	252
82	.di	5740
83	.dh	0
84	.dk	784
85	.de	18321
86	.da	3545
87	.db	134
88	llã	0
89	fnl	279
90	y â	0
91	öff	550
92	éa 	2350
93	azg	1047
94	íêá	0
95	ceq	318
96	újo	10090
97	úja	285
98	yd 	7763
99	r';	0
100	yd'	127
101	r'?	0
102	yd.	583
103	yd-	285
104	r',	786
105	r'-	0
106	r'.	300
107	r' 	2801
108	:da	50528
109	--t	2576
110	ydb	393
111	yda	5707
112	ydg	480
113	ydd	2759
114	yde	26263
115	r's	14578
116	ydn	9511
117	ydo	5703
118	ydl	675
119	r'w	0
120	ydr	12763
121	r'l	0
122	ydu	468
123	r'a	322
124	ydx	0
125	r'd	160
126	r'e	138
127	äbo	0
128	näp	0
129	näg	125
130	e.-	1630
131	lló	2437
132	kló	600
133	kl,	182
134	kl.	558
135	az-	3899
136	kl 	767
137	cv 	3035
138	nkp	478
139	nkq	0
140	nkr	6224
141	nkt	9074
142	nku	3955
143	ññj	0
144	kly	7253
145	nkv	542
146	klp	0
147	klr	0
148	jem	4440
149	klt	0
150	klu	8711
151	klh	0
152	kli	27596
153	klk	0
154	kll	120
155	klm	442
156	kln	0
157	klo	9697
158	kla	41538
159	klb	201
160	kle	42893
161	klf	0
162	klg	0
163	-c;	0
164	jey	265
165	-c 	1177
166	-c.	2373
167	-c-	303
168	-c,	166
169	wbp	0
170	nkh	2573
171	ejn	1571
172	jes	69491
173	-cw	0
174	-cu	6332
175	-ct	125
176	-cs	369
177	-cr	14914
178	-cp	173
179	jev	7615
180	avá	1714
181	-cz	0
182	-cy	1860
183	nkm	1068
184	-cg	0
185	-cf	0
186	-ce	6864
187	-cd	787
188	-cc	220
189	nkn	3317
190	-ca	65004
191	-co	167569
192	-cn	187
193	-cm	337
194	-cl	14943
195	-ci	11834
196	-ch	42085
197	m-z	405
198	.ia	677
199	wfr	0
200	pól	15198
201	áje	287
202	ája	1474
203	êîé	0
204	etí	5688
205	lax	17971
206	hgs	0
207	-cô	1385
208	hgp	0
209	wfe	119
210	-cé	3748
211	ppé	450
212	vf 	171
213	vf.	0
214	vf,	0
215	hgg	0
216	m-q	164
217	lan	1154010
218	ii,	43263
219	hgb	626
220	ì c	0
221	 tê	57817
222	 té	81187
223	vfw	0
224	ì f	156
225	 tí	214997
226	 tá	19091
227	 tà	389
228	ì l	0
229	 tú	12700
230	vfa	149
231	brü	5056
232	ì w	0
233	hgo	477
234	 tó	22376
235	je.	6682
236	vfi	0
237	vfo	0
238	 tö	1209
239	hgm	0
240	lac	420378
241	je 	69780
242	ppo	22886
243	ppn	706
244	ppm	1235
245	ppl	18763
246	 t.	27610
247	ppi	41258
248	 t,	1001
249	e!i	0
250	ppe	88481
251	 t 	6373
252	 t'	1860
253	ppa	28594
254	 t;	0
255	 t:	0
256	 t?	0
257	ppy	7712
258	ppx	0
259	ppw	0
260	ppv	583
261	ppu	5361
262	ppt	411
263	pps	6760
264	ppr	4316
265	ppp	1452
266	je;	141
267	azú	862
268	 tk	2654
269	e! 	8558
270	 ti	664230
271	 th	931997
272	 to	1324601
273	 tn	4056
274	e!'	0
275	 tl	4650
276	 tc	22287
277	 tb	8742
278	 ta	1126873
279	 tg	2516
280	 te	2538178
281	pp 	11814
282	pp?	0
283	 tz	2269
284	 ty	29998
285	 tx	2180
286	pp:	572
287	lía	3447
288	 ts	22432
289	 tr	1437837
290	 tq	453
291	 tp	1863
292	 tw	25019
293	 tv	87718
294	 tu	311410
295	 tt	2272
296	!..	0
297	!. 	0
298	m-n	8953
299	hw,	0
300	ér 	492
301	ér,	0
302	as:	56994
303	j,l	0
304	ér;	0
305	érd	540
306	ére	45338
307	éra	16903
308	érb	1871
309	érc	82274
310	éro	10095
311	éri	526991
312	ért	9086
313	éru	1061
314	érv	15124
315	érr	5432
316	éry	2918
317	cp.	774
318	iim	1070
319	iil	1995
320	ówk	1362
321	hg-	0
322	érè	456
323	éré	2642
324	érô	984
325	fwd	0
326	, c	1346160
327	, b	291788
328	, a	1578224
329	, g	213282
330	, f	531777
331	, e	1789379
332	, d	909081
333	, k	86518
334	, j	260635
335	, i	369665
336	, h	166300
337	, o	1063313
338	, n	823779
339	, m	828896
340	, l	303559
341	, s	877072
342	, r	369645
343	, q	609025
344	, p	1228628
345	, w	77603
346	, v	242385
