0	ñpq	0
1	asf	17257
2	äíá	0
3	yüa	0
4	nkô	0
5	äíé	0
6	äíë	0
7	nkü	181
8	?!-	0
9	nkà	0
10	nak	49500
11	y î	0
12	îéó	0
13	?! 	0
14	mxb	0
15	wf 	3847
16	wf.	850
17	wf,	817
18	wf-	0
19	fbn	0
20	jej	2847
21	jek	8341
22	jeh	5171
23	nks	54019
24	jen	67653
25	jeo	5305
26	jel	15573
27	nkw	992
28	jeb	2586
29	jec	126771
30	jea	100143
31	jef	126211
32	jeg	1636
33	jed	39419
34	jee	4737
35	jez	7305
36	nka	46186
37	nkb	1218
38	nkc	1431
39	nkd	413
40	nke	65175
41	nkf	7242
42	nkg	832
43	jer	577514
44	nki	61219
45	jep	4644
46	nkl	24702
47	jew	9755
48	jet	233283
49	nko	42424
50	wfu	661
51	wfa	333
52	wfo	7401
53	wfl	412
54	wfm	244
55	zá 	12573
56	wfi	1389
57	je,	32985
58	je-	1353
59	nië	2033
60	nk:	1252
61	nk;	2902
62	nk?	0
63	nk 	103798
64	nk!	370
65	nk'	831
66	nk,	13092
67	nk-	3609
68	nk.	7241
69	é ä	0
70	.d,	0
71	.d.	30766
72	.d 	850
73	.du	2838
74	.dt	282
75	.dw	0
76	xy,	930
77	.dr	1612
78	.dm	264
79	.dl	641
80	.do	11766
81	.dn	186
82	.di	16710
83	.dh	299
84	.dk	1239
85	.de	31725
86	.da	7696
87	.db	328
88	llã	0
89	fnl	235
90	y â	0
91	öff	817
92	éa 	833
93	azg	26896
94	íêá	0
95	ceq	2860
96	újo	1839
97	úja	2434
98	yd 	13003
99	r';	0
100	yd'	211
101	r'?	0
102	yd.	1345
103	yd-	330
104	r',	934
105	r'-	0
106	r'.	519
107	r' 	3515
108	:da	77544
109	--t	7375
110	ydb	1353
111	yda	11098
112	ydg	622
113	ydd	3632
114	yde	30021
115	r's	21960
116	ydn	14973
117	ydo	10046
118	ydl	1133
119	r'w	0
120	ydr	15929
121	r'l	0
122	ydu	876
123	r'a	327
124	ydx	0
125	r'd	201
126	r'e	276
127	äbo	0
128	näp	0
129	näg	171
130	e.-	2374
131	lló	108924
132	kló	3513
133	kl,	372
134	kl.	828
135	az-	4120
136	kl 	1225
137	cv 	8862
138	nkp	693
139	nkq	0
140	nkr	7397
141	nkt	6742
142	nku	6358
143	ññj	0
144	kly	14671
145	nkv	997
146	klp	0
147	klr	0
148	jem	197374
149	klt	0
150	klu	13058
151	klh	0
152	kli	46029
153	klk	0
154	kll	234
155	klm	1325
156	kln	0
157	klo	17572
158	kla	65773
159	klb	0
160	kle	52782
161	klf	203
162	klg	0
163	-c;	0
164	jey	637
165	-c 	38304
166	-c.	2779
167	-c-	607
168	-c,	336
169	wbp	0
170	nkh	4174
171	ejn	1335
172	jes	365377
173	-cw	0
174	-cu	12792
175	-ct	359
176	-cs	968
177	-cr	16482
178	-cp	209
179	jev	12478
180	avá	3231
181	-cz	0
182	-cy	3323
183	nkm	1644
184	-cg	272
185	-cf	372
186	-ce	13817
187	-cd	1595
188	-cc	368
189	nkn	3777
190	-ca	70887
191	-co	303311
192	-cn	469
193	-cm	387
194	-cl	19969
195	-ci	13300
196	-ch	59398
197	m-z	238
198	.ia	989
199	wfr	0
200	pól	15337
201	áje	2738
202	ája	14872
203	êîé	0
204	etí	23138
205	lax	43662
206	hgs	0
207	-cô	1613
208	hgp	0
209	wfe	0
210	-cé	1589
211	ppé	944
212	vf 	447
213	vf.	0
214	vf,	0
215	hgg	0
216	m-q	0
217	lan	2761718
218	ii,	86945
219	hgb	0
220	ì c	0
221	 tê	1126
222	 té	253624
223	vfw	0
224	ì f	269
225	 tí	431421
226	 tá	30424
227	 tà	1212
228	ì l	0
229	 tú	46066
230	vfa	254
231	brü	6189
232	ì w	0
233	hgo	1050
234	 tó	16000
235	je.	25910
236	vfi	188
237	vfo	0
238	 tö	2300
239	hgm	0
240	lac	2576422
241	je 	411771
242	ppo	37041
243	ppn	1234
244	ppm	1634
245	ppl	32532
246	 t.	60555
247	ppi	46553
248	 t,	2437
249	e!i	0
250	ppe	135397
251	 t 	18343
252	 t'	2581
253	ppa	31458
254	 t;	0
255	 t:	258
256	 t?	0
257	ppy	12059
258	ppx	0
259	ppw	0
260	ppv	1184
261	ppu	8332
262	ppt	1481
263	pps	7947
264	ppr	7866
265	ppp	7744
266	je;	1098
267	azú	18628
268	 tk	2927
269	e! 	11070
270	 ti	2245459
271	 th	1500615
272	 to	2779450
273	 tn	8572
274	e!'	0
275	 tl	25651
276	 tc	21061
277	 tb	7849
278	 ta	2646904
279	 tg	2809
280	 te	3889497
281	pp 	25455
282	pp?	0
283	 tz	5404
284	 ty	45221
285	 tx	9740
286	pp:	1874
287	lía	56422
288	 ts	35351
289	 tr	3262178
290	 tq	190
291	 tp	4153
292	 tw	44540
293	 tv	79420
294	 tu	688747
295	 tt	4184
296	!..	0
297	!. 	0
298	m-n	1133
299	hw,	0
300	ér 	762
301	ér,	0
302	as:	131296
